Date,Open,High,Low,Close,Adj Close,Volume
2-Jan-15,17823.07,17951.78,17731.3,17832.99,17832.99,762700
5-Jan-15,17821.3,17821.3,17475.93,17501.65,17501.65,1161600
6-Jan-15,17504.18,17581.05,17262.37,17371.64,17371.64,1018700
7-Jan-15,17374.78,17597.08,17374.78,17584.52,17584.52,910300
8-Jan-15,17591.97,17916.04,17591.97,17907.87,17907.87,1148900
9-Jan-15,17911.02,17915.32,17686.09,17737.37,17737.37,933900
12-Jan-15,17742.05,17793.88,17571.58,17640.84,17640.84,925000
13-Jan-15,17645.02,17923.01,17498.23,17613.68,17613.68,993600
14-Jan-15,17609.06,17609.06,17264.9,17427.09,17427.09,1091800
15-Jan-15,17436.3,17517.41,17298.04,17320.71,17320.71,945200
16-Jan-15,17320,17528.37,17243.55,17511.57,17511.57,1404800
20-Jan-15,17516.96,17588.7,17346.73,17515.23,17515.23,1196000
21-Jan-15,17509.96,17599.58,17396.04,17554.28,17554.28,955300
22-Jan-15,17557.29,17840.89,17482.54,17813.98,17813.98,1119800
23-Jan-15,17812.5,17812.5,17667.53,17672.6,17672.6,971100
26-Jan-15,17668.11,17696.36,17567.6,17678.7,17678.7,872200
27-Jan-15,17638.53,17638.53,17288.31,17387.21,17387.21,1359400
28-Jan-15,17402.91,17484.41,17189,17191.37,17191.37,1159800
29-Jan-15,17195.29,17433.13,17136.3,17416.85,17416.85,1116900
30-Jan-15,17416.85,17419.9,17156.82,17164.95,17164.95,1685600
2-Feb-15,17169.99,17367.68,17037.76,17361.04,17361.04,1080900
3-Feb-15,17369.97,17670.76,17369.97,17666.4,17666.4,1128600
4-Feb-15,17664.99,17782.22,17603.21,17673.02,17673.02,1025600
5-Feb-15,17677.26,17889.58,17677.26,17884.88,17884.88,798900
6-Feb-15,17881.54,17951.09,17764.4,17824.29,17824.29,936100
9-Feb-15,17821.49,17821.49,17685.32,17729.21,17729.21,815900
10-Feb-15,17736.15,17890.34,17729.24,17868.76,17868.76,899300
11-Feb-15,17867.86,17897.21,17759.65,17862.14,17862.14,898900
12-Feb-15,17862.14,17975.65,17862.14,17972.38,17972.38,1171600
13-Feb-15,17968.65,18037.41,17961.76,18019.35,18019.35,852300
17-Feb-15,18019.8,18052.01,17951.41,18047.58,18047.58,987600
18-Feb-15,18045.72,18048.7,17982.2,18029.85,18029.85,750900
19-Feb-15,18028.67,18028.67,17924.6,17985.77,17985.77,791300
20-Feb-15,17985.77,18144.29,17878.37,18140.44,18140.44,1113900
23-Feb-15,18140.76,18141.21,18054.84,18116.84,18116.84,836700
24-Feb-15,18112.57,18231.09,18098.73,18209.19,18209.19,793100
25-Feb-15,18208.67,18244.38,18182.76,18224.57,18224.57,804800
26-Feb-15,18224.41,18239.43,18157.07,18214.42,18214.42,815000
27-Feb-15,18213.26,18213.26,18132.38,18132.7,18132.7,1011100
2-Mar-15,18134.05,18288.63,18122.59,18288.63,18288.63,897900
3-Mar-15,18281.95,18281.95,18136.88,18203.37,18203.37,838300
4-Mar-15,18203.37,18203.37,18029.5,18096.9,18096.9,809000
5-Mar-15,18096.9,18160.35,18087.65,18135.72,18135.72,758400
6-Mar-15,18135.72,18135.72,17825.15,17856.78,17856.78,1133500
9-Mar-15,17856.56,18031.04,17856.56,17995.72,17995.72,858200
10-Mar-15,17989.56,17989.56,17662.94,17662.94,17662.94,1204500
11-Mar-15,17662.94,17731.78,17627,17635.39,17635.39,1021200
12-Mar-15,17626.84,17900.1,17620.49,17895.22,17895.22,1115500
13-Mar-15,17889.05,17889.05,17629.89,17749.31,17749.31,1136200
16-Mar-15,17751.24,17988.5,17751.24,17977.42,17977.42,1017600
17-Mar-15,17972.22,17972.22,17785.79,17849.08,17849.08,825600
18-Mar-15,17846.8,18097.12,17697.52,18076.19,18076.19,1309500
19-Mar-15,18072.58,18072.99,17934.24,17959.03,17959.03,1078200
20-Mar-15,17961.13,18197.29,17961.13,18127.65,18127.65,3338700
23-Mar-15,18136.73,18205.93,18116.04,18116.04,18116.04,980300
